"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
327,"3/2043",-102199,-313,0,10197.680580856422,-1002.1788698878536,null
328,"4/2043",-102511,-312,0,9891.943729042581,-1036.307957343403,null
329,"5/2043",-102824,-313,0,9586.00305266093,-1072.6472695150835,null
330,"6/2043",-103136,-312,0,9279.858415828294,-1111.3962668232623,null
331,"7/2043",-103449,-313,0,8973.50968257119,-1152.8265267370687,null
332,"8/2043",-103761,-312,0,8666.956716825109,-1197.2022405346668,null
333,"9/2043",-104074,-313,0,8360.199382435341,-1244.8746164913002,null
334,"10/2043",-104386,-312,0,8053.237543155833,-1296.1991924442118,null
335,"11/2043",-104699,-313,0,7746.071062650332,-1351.6400656951505,null
336,"12/2043",-105011,-312,0,7438.699804490982,-1411.6848745072557,null
337,"1/2044",-105324,-313,0,7131.12363215963,-1476.962193237184,null
338,"2/2044",-105636,-312,0,6823.342409046664,-1548.1562212082968,null
339,"3/2044",-105949,-313,0,6515.35599845166,-1626.1429156776426,null
340,"4/2044",-106262,-313,0,6207.164263582948,-1711.9250512417182,null
341,"5/2044",-106574,-312,0,5898.76706755762,-1806.7165354967453,null
342,"6/2044",-106887,-313,0,5590.164273401582,-1912.0547227668478,null
343,"7/2044",-107199,-312,0,5281.3557440495015,-2029.7629092829243,null
344,"8/2044",-107512,-313,0,4972.341342344489,-2162.2007138654612,null
345,"9/2044",-107824,-312,0,4663.120931038423,-2312.2711504715116,null
346,"10/2044",-108137,-313,0,4353.694372791311,-2483.798602763874,null
347,"11/2044",-108449,-312,0,4044.0615301721864,-2681.685211534912,null
348,"12/2044",-108762,-313,0,3734.2222656579033,-2912.5743531722546,null
349,"1/2045",-109074,-312,0,3424.1764416339747,-3185.408283106791,null
350,"2/2045",-109387,-313,0,3113.9239203939433,-3512.834699768818,null
351,"3/2045",-109699,-312,0,2803.4645641399047,-3912.979725272731,null
352,"4/2045",-110012,-313,0,2492.7982349816243,-4413.193111909073,null
353,"5/2045",-110324,-312,0,2181.9247949372602,-5056.269595358454,null
354,"6/2045",-110637,-313,0,1870.844105932745,-5913.7476847564385,null
355,"7/2045",-110950,-313,0,1559.5560298024059,-7114.204163223123,null
356,"8/2045",-111262,-312,0,1248.0604282878744,-8914.7927037982,null
357,"9/2045",-111575,-313,0,936.3571630390735,-11915.859076452012,null
358,"10/2045",-111887,-312,0,624.446095613334,-17917.799596473422,null
359,"11/2045",-112200,-313,0,312.3270874760702,-35923.877402595295,null
360,"12/2045",-112512,-312,,,null,null
