"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
71,"11/2021",-19689.724248668557,-312.53530553442033,0,84185.77162820939,-23.388422850864295,null
72,"12/2021",-20002.259554202978,-312.53530553442033,0,83929.36017042714,-23.83225549865547,null
73,"1/2022",-20314.794859737398,-312.53530553442033,0,83672.77777167306,-24.278857952072023,null
74,"2/2022",-20627.33016527182,-312.53530553442033,0,83416.02431798643,-24.728258549747363,null
75,"3/2022",-20939.86547080624,-312.53530553442033,0,83159.0996953307,-25.180486017192884,null
76,"4/2022",-21252.40077634066,-312.53530553442033,0,82902.00378959322,-25.635569473422663,null
77,"5/2022",-21564.93608187508,-312.53530553442033,0,82644.73648658521,-26.09353843771463,null
78,"6/2022",-21877.4713874095,-312.53530553442033,0,82387.29767204188,-26.554422836511627,null
79,"7/2022",-22190.00669294392,-312.53530553442033,0,82129.68723162226,-27.01825301046579,null
80,"8/2022",-22502.54199847834,-312.53530553442033,0,81871.90505090896,-27.485059721629764,null
81,"9/2022",-22815.07730401276,-312.53530553442033,0,81613.95101540857,-27.954874160797967,null
82,"10/2022",-23127.61260954718,-312.53530553442033,0,81355.82501055107,-28.427727955002304,null
83,"11/2022",-23440.1479150816,-312.53530553442033,0,81097.52692169043,-28.903653175165168,null
84,"12/2022",-23752.68322061602,-312.53530553442033,0,80839.05663410375,-29.382682343914716,null
85,"1/2023",-24065.218526150442,-312.53530553442033,0,80580.41403299221,-29.86484844356517,null
86,"2/2023",-24377.753831684862,-312.53530553442033,0,80321.59900347974,-30.350184924267698,null
87,"3/2023",-24690.289137219283,-312.53530553442033,0,80062.61143061442,-30.83872571233442,null
88,"4/2023",-25002.824442753703,-312.53530553442033,0,79803.45119936709,-31.330505218741717,null
89,"5/2023",-25315.359748288123,-312.53530553442033,0,79544.11819463232,-31.825558347815612,null
90,"6/2023",-25627.895053822544,-312.53530553442033,0,79284.61230122761,-32.32392050610524,null
91,"7/2023",-25940.430359356964,-312.53530553442033,0,79024.93340389406,-32.8256276114479,null
92,"8/2023",-26252.965664891384,-312.53530553442033,0,78765.08138729558,-33.3307161022319,null
93,"9/2023",-26565.500970425805,-312.53530553442033,0,78505.05613601946,-33.839222946860744,null
94,"10/2023",-26878.036275960225,-312.53530553442033,0,78244.8575345757,-34.35118565342529,null
95,"11/2023",-27190.571581494645,-312.53530553442033,0,77984.4854673977,-34.866642279587744,null
96,"12/2023",-27503.106887029066,-312.53530553442033,0,77723.93981884158,-35.38563144268434,null
97,"1/2024",-27815.642192563486,-312.53530553442033,0,77463.22047318645,-35.90819233005133,null
98,"2/2024",-28128.177498097906,-312.53530553442033,0,77202.32731463415,-36.43436470958052,null
99,"3/2024",-28440.712803632327,-312.53530553442033,0,76941.26022730957,-36.964188940510184,null
100,"4/2024",-28753.248109166747,-312.53530553442033,0,76680.01909526002,-37.49770598445786,null
101,"5/2024",-29065.783414701167,-312.53530553442033,0,76418.60380245587,-38.03495741670051,null
102,"6/2024",-29378.318720235588,-312.53530553442033,0,76157.01423278969,-38.575985437709875,null
103,"7/2024",-29690.854025770008,-312.53530553442033,0,75895.25027007723,-39.120832884948065,null
104,"8/2024",-30003.38933130443,-312.53530553442033,0,75633.3117980563,-39.669543244932306,null
105,"9/2024",-30315.92463683885,-312.53530553442033,0,75371.19870038728,-40.22216066557407,null
106,"10/2024",-30628.45994237327,-312.53530553442033,0,75108.91086065308,-40.77872996880114,null
107,"11/2024",-30940.99524790769,-312.53530553442033,0,74846.44816235921,-41.33929666346963,null
108,"12/2024",-31253.53055344211,-312.53530553442033,0,74583.81048893301,-41.90390695857462,null
109,"1/2025",-31566.06585897653,-312.53530553442033,0,74320.99772372463,-42.472607776765706,null
110,"2/2025",-31878.60116451095,-312.53530553442033,0,74058.00975000604,-43.04544676817804,null
111,"3/2025",-32191.13647004537,-312.53530553442033,0,73794.84645097166,-43.62247232458535,null
112,"4/2025",-32503.67177557979,-312.53530553442033,0,73531.50770973793,-44.20373359388531,null
113,"5/2025",-32816.20708111421,-312.53530553442033,0,73267.99340934333,-44.789280494925364,null
