"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
121,"1/2026",181252,1918,143717.56748267074,69976.1818934334,464.40025547202094,10.721317348216903
122,"2/2026",183171,1919,143641.36189926593,69712.60432814505,468.79953065721577,10.721317348216903
123,"3/2026",185089,1918,143565.8224754238,69448.8071148856,473.2332146925821,10.721317348216903
124,"4/2026",187007,1918,143490.94338783665,69184.79007061518,477.70318165380814,10.721317348216903
125,"5/2026",188926,1919,143416.7188641018,68920.55301214108,482.2113351376564,10.721317348216903
126,"6/2026",190844,1918,143343.14318227678,68656.09575611836,486.7552392862295,10.721317348216903
127,"7/2026",192762,1918,143270.210670438,68391.418119049,491.33680790988484,10.721317348216903
128,"8/2026",194681,1919,143197.91570624366,68126.51991728191,495.957985402,10.721317348216903
129,"9/2026",196599,1918,143126.25271650025,67861.40096701341,500.616326623785,10.721317348216903
130,"10/2026",198518,1919,143055.21617673305,67596.06108428638,505.31526644847116,10.721317348216903
131,"11/2026",200436,1918,142984.8006107601,67330.50008499045,510.0523539514252,10.721317348216903
132,"12/2026",198804,-1632,142915.00059027,67064.71778486176,509.53617919705147,10.721317348216903
133,"1/2027",200723,1919,142845.81073440367,66798.71399948286,514.3344686801358,10.721317348216903
134,"2/2027",202641,1918,142777.22570933934,66532.48854428297,519.1722619535485,10.721317348216903
135,"3/2027",204559,1918,142709.2402278814,66266.04123453694,524.0515862397557,10.721317348216903
136,"4/2027",206478,1919,142641.84904905298,65999.3718853662,528.9745024474423,10.721317348216903
137,"5/2027",208396,1918,142575.04697769164,65732.48031173776,533.9385419707329,10.721317348216903
138,"6/2027",210314,1918,142508.8288640491,65465.3663284647,538.9457795039326,10.721317348216903
139,"7/2027",212233,1919,142443.1896033942,65198.02975020553,543.998324738143,10.721317348216903
140,"8/2027",214151,1918,142378.1241356193,64930.47039146451,549.0937028272124,10.721317348216903
141,"9/2027",216069,1918,142313.62744485022,64662.68806659115,554.2340384547258,10.721317348216903
142,"10/2027",217988,1919,142249.69455905978,64394.68258978043,559.4214926936068,10.721317348216903
143,"11/2027",219906,1918,142186.32054968408,64126.45377507241,564.6535855853589,10.721317348216903
144,"12/2027",218275,-1631,135847.288609443,63858.00143635208,554.5464634723971,10.721317348216903
145,"1/2028",220228,1953,135839.88194205292,63589.32538734947,559.9491420503251,10.721317348216903
146,"2/2028",222181,1953,135832.5400208676,63320.42544163937,565.399770332937,10.721317348216903
147,"3/2028",224135,1954,135825.26227990096,63051.30141264124,570.9006066728577,10.721317348216903
148,"4/2028",226088,1953,135818.04815811448,62781.95311361889,576.4491708360193,10.721317348216903
149,"5/2028",228041,1953,135810.89709937404,62512.38035768068,582.0477400116612,10.721317348216903
150,"6/2028",229995,1954,135803.80855240702,62242.582957779196,587.6986319808387,10.721317348216903
151,"7/2028",231948,1953,135796.78197075982,61972.56072671113,593.3993652327105,10.721317348216903
152,"8/2028",233901,1953,135789.81681275571,61702.313477117226,599.1522780581937,10.721317348216903
153,"9/2028",235855,1954,135782.91254145314,61431.84102148199,604.9597511028454,10.721317348216903
154,"10/2028",237808,1953,135776.0686246042,61161.143172133554,610.8193033167795,10.721317348216903
155,"11/2028",239762,1954,135769.28453461375,60890.219741244204,616.7349799860326,10.721317348216903
156,"12/2028",238865,-897,135762.5597484987,60619.07054082898,618.0028106768389,10.721317348216903
157,"1/2029",240818,1953,135755.89374784761,60347.69538274683,624.0070832191359,10.721317348216903
158,"2/2029",242772,1954,135749.28601878084,60076.094078699534,630.069733766178,10.721317348216903
159,"3/2029",244725,1953,135742.73605191088,59804.26644023233,636.1882833763137,10.721317348216903
160,"4/2029",246678,1953,135736.24334230303,59532.21227873295,642.3652485007939,10.721317348216903
161,"5/2029",248632,1954,135729.80738943664,59259.931405432355,648.6031932095726,10.721317348216903
162,"6/2029",250585,1953,135723.4276971663,58987.42363140397,654.8996445600005,10.721317348216903
163,"7/2029",252538,1953,135717.10377368383,58714.688767564025,661.2571946190219,10.721317348216903
164,"8/2029",254492,1954,135710.83513148015,58441.72662467071,667.6784853354403,10.721317348216903
165,"9/2029",256445,1953,135704.62128730782,58168.53701332504,674.1610523872649,10.721317348216903
166,"10/2029",258398,1953,135698.46176214376,57895.11974396997,680.7075682802964,10.721317348216903
167,"11/2029",260352,1954,135692.3560811524,57621.47462689036,687.3207578348391,10.721317348216903
168,"12/2029",259455,-897,135686.30377364883,57347.6014722133,689.0284748266362,10.721317348216903
169,"1/2030",261409,1954,135680.30437306286,57073.500089907204,695.7507490298174,10.721317348216903
170,"2/2030",263362,1953,135674.35741690276,56799.17028978254,702.5390606606879,10.721317348216903
171,"3/2030",265315,1953,135668.4624467198,56524.61188149116,709.3962242278054,10.721317348216903
172,"4/2030",267269,1954,135662.61900807274,56249.82467452623,716.3251109483863,10.721317348216903
173,"5/2030",269222,1953,135656.82665049296,55974.80847822217,723.3232907049911,10.721317348216903
174,"6/2030",271175,1953,135651.08492744967,55699.56310175446,730.3936732577985,10.721317348216903
175,"7/2030",273129,1954,135645.39339631546,55424.0883541397,737.539228041779,10.721317348216903
176,"8/2030",275082,1953,135639.75161833214,55148.38404423522,744.7575459126545,10.721317348216903
177,"9/2030",277035,1953,135634.15915857704,54872.44998073928,752.0516384878524,10.721317348216903
178,"10/2030",278989,1954,135628.6155859294,54596.28597219033,759.4245802674615,10.721317348216903
179,"11/2030",280942,1953,135623.12047303715,54319.89182696771,766.8739875255583,10.721317348216903
180,"12/2030",280046,-896,135617.67339628394,54043.26735329051,769.1312789787785,10.721317348216903
181,"1/2031",281999,1953,135612.27393575656,53766.41235921872,776.7140406275471,10.721317348216903
182,"2/2031",283952,1953,135606.92167521248,53489.326652651864,784.3787684966338,10.721317348216903
183,"3/2031",285906,1954,135601.6162020478,53212.01004132954,792.128724088161,10.721317348216903
184,"4/2031",287859,1953,135596.35710726544,52934.462332831106,799.9615721885385,10.721317348216903
185,"5/2031",289812,1953,135591.14398544366,52656.68333457565,807.8806279584146,10.721317348216903
186,"6/2031",291766,1954,135585.97643470473,52378.6728538216,815.8892792632578,10.721317348216903
187,"7/2031",293719,1953,135580.85405668392,52100.43069766684,823.9852306555096,10.721317348216903
188,"8/2031",295672,1953,135575.77645649892,51821.956673048684,832.1719289321628,10.721317348216903
189,"9/2031",297626,1954,135570.74324271933,51543.25058674339,840.4528979282787,10.721317348216903
190,"10/2031",299579,1953,135565.75402733646,51264.312245366134,848.8258887481123,10.721317348216903
191,"11/2031",301533,1954,135560.80842573344,50985.14145537117,857.2964513756126,10.721317348216903
192,"12/2031",300636,-897,135555.90605665554,50705.738023050966,860.2417064876594,10.721317348216903
193,"1/2032",302589,1953,135551.0465421809,50426.101754537354,868.8755055366876,10.721317348216903
194,"2/2032",304543,1954,135546.22950769123,50146.23245579988,877.6117525790131,10.721317348216903
195,"3/2032",306496,1953,135541.45458184302,49866.12993264684,886.4482870014054,10.721317348216903
196,"4/2032",308449,1953,135536.72139653892,49585.793990724575,895.3889524882671,10.721317348216903
197,"5/2032",310403,1954,135532.0295868993,49305.22443551734,904.4376832116541,10.721317348216903
198,"6/2032",312356,1953,135527.37879123425,49024.42107234734,913.5923872110075,10.721317348216903
199,"7/2032",314309,1953,135522.7686510155,48743.38370637478,922.8570822262908,10.721317348216903
200,"8/2032",316263,1954,135518.19881084902,48462.11214259716,932.2358825003482,10.721317348216903
